,,,,,,,BUS Connected Write Enable Flags,,,,,,,,,,,,RAM Connected WE Flags,,Status and Conditional Jump Related,,,,,,
OP,opcode,Comment,W-Selector (4 bits),ALU Op (4 bits),PC INC,IR Clr,ACC WE,B WE,C WE,TMP WE,MAR WE,PC WE,MDR-TM WE,IR WE SEL,OUT 3 WE,OUT 4 WE,PC LOW WE,PC HIGH WE,MDR-FM WE,RAM WE,UPDATE STATUS FLAGS,CHK_M_ABORT_IF_NOT_M,CHZ_Z_ABORT_IF_NOT_Z,CHZ_NOT_Z_ABORT_IF_Z,WAIT,SP INC,SP DEC
ORI byte,F6,MAR <- PC,0001,0000,0,0,0,0,0,0,1,0,0,00,0,0,0,0,0,0,0,0,0,0,0,0,0
ORI byte,F6,INC PC,0000,0000,1,0,0,0,0,0,0,0,0,00,0,0,0,0,1,0,0,0,0,0,0,0,0
ORI byte,F6,MDR-FM WE,0000,0000,0,0,0,0,0,0,0,0,0,00,0,0,0,0,1,0,0,0,0,0,0,0,0
ORI byte,F6,TMP <- MDR-FM; OP=OR,0100,0110,0,0,0,0,0,1,0,0,0,00,0,0,0,0,0,0,1,0,0,0,0,0,0
ORI byte,F6,ACC <- ALU,0011,0000,0,0,1,0,0,0,0,0,0,00,0,0,0,0,0,0,0,0,0,0,0,0,0
ORI byte,F6,NOP,0000,0000,0,0,0,0,0,0,0,0,0,00,0,0,0,0,0,0,0,0,0,0,0,0,0
OUT byte,D3,MAR <- PC,0001,0000,0,0,0,0,0,0,1,0,0,00,0,0,0,0,0,0,0,0,0,0,0,0,0
OUT byte,D3,INC PC,0000,0000,1,0,0,0,0,0,0,0,0,00,0,0,0,0,1,0,0,0,0,0,0,0,0
OUT byte,D3,MDR-FM WE,0000,0000,0,0,0,0,0,0,0,0,0,00,0,0,0,0,1,0,0,0,0,0,0,0,0
OUT byte,D3,OperandLow <- MDR-FM,0100,0000,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
OUT byte,D3,WAIT,0000,0000,0,0,0,0,0,0,0,0,0,00,0,0,0,0,0,0,0,0,0,0,1,0,0
OUT byte,D3,NOP,0000,0000,0,0,0,0,0,0,0,0,0,00,0,0,0,0,0,0,0,0,0,0,0,0,0
RAL,17,TMS <- ACC,0101,0000,0,0,0,0,0,1,0,0,0,00,0,0,0,0,0,0,0,0,0,0,0,0,0
RAL,17,OP=RAL,0000,1001,0,0,0,0,0,0,0,0,0,00,0,0,0,0,0,0,1,0,0,0,0,0,0
RAL,17,ACC <- ALU,0011,0000,0,0,1,0,0,0,0,0,0,00,0,0,0,0,0,0,0,0,0,0,0,0,0
RAL,17,NOP,0000,0000,0,0,0,0,0,0,0,0,0,00,0,0,0,0,0,0,0,0,0,0,0,0,0
